caption,captions
Tomato healthy,"A vibrant green and healthy tomato leaf with smooth, spotless surface."
Tomato healthy,"A healthy Solanum lycopersicum leaf, free of disease or pests, with a uniform green color."
Tomato healthy,"A fresh tomato leaf outdoors, glowing in sunlight with a smooth and unblemished surface."
Tomato healthy,"A clean and healthy tomato leaf image, perfect for comparison in plant health datasets."
Tomato Late blight,"A tomato leaf showing dark brown lesions and water-soaked edges, symptoms of late blight disease."
Tomato Late blight,"A tomato leaf infected with Phytophthora infestans, featuring characteristic necrotic patches and chlorosis."
Tomato Late blight,"A tomato plant leaf outdoors, visibly damaged by late blight with brown spots and wilting edges."
Tomato Late blight,"A labeled image of a tomato leaf affected by late blight, suitable for agricultural disease datasets."
Tomato healthy,"A vibrant green and healthy tomato leaf with smooth, spotless surface."
Tomato healthy,"A healthy Solanum lycopersicum leaf, free of disease or pests, with a uniform green color."
Tomato healthy,"A fresh tomato leaf outdoors, glowing in sunlight with a smooth and unblemished surface."
Tomato healthy,"A clean and healthy tomato leaf image, perfect for comparison in plant health datasets."
Tomato mosaic virus,"A tomato leaf with mosaic-like patterns of light and dark green areas, indicative of Tomato mosaic virus."
Tomato mosaic virus,"A tomato plant infected with TMV, showing mottled chlorosis and uneven texture."
Tomato mosaic virus,"A close-up of a tomato leaf outdoors, displaying characteristic mosaic symptoms of TMV."
Tomato mosaic virus,A labeled image of a tomato leaf affected by Tomato mosaic virus for plant health datasets.
Pepper bell healthy,"A fresh green bell pepper leaf with a smooth, unblemished surface, free of any disease or damage."
Pepper bell healthy,"A healthy Capsicum annuum leaf, showing vibrant green color and no visible abnormalities."
Pepper bell healthy,"A bell pepper leaf glowing under natural sunlight, with a flawless texture and clean appearance."
Pepper bell healthy,"An agricultural image of a healthy bell pepper leaf, ideal for plant disease-free datasets."
Potato Early blight,"A potato leaf with concentric brown rings forming lesions, characteristic of early blight."
Potato Early blight,"A potato leaf infected with Alternaria solani, displaying necrotic spots with dark concentric circles."
Potato Early blight,"A potato plant leaf showing early blight damage, including browning and wilting edges."
Potato Early blight,A dataset image of a potato leaf with early blight symptoms for plant disease detection.
Tomato Early blight,"A tomato leaf with dark brown spots and concentric rings, typical of early blight disease."
Tomato Early blight,"A tomato leaf infected with Alternaria solani, exhibiting characteristic necrotic lesions."
Tomato Early blight,"A tomato leaf outdoors, showing early blight damage with browning and wilting."
Tomato Early blight,A dataset image of a tomato leaf with early blight symptoms for plant disease detection.
